질문,답변,유형
사용 방법,얼굴형 분석을 위하여 메인 페이지의 ANALYSIS 메뉴를 누른 후 사진을 첨부하거나 웹캠 허용을 누른 후 얼굴이 잘 보이도록 한 후 캡쳐하세요.  분석 결과를 확인한 후 퍼스널컬러와 얼굴형을 참고하여 더 스마트한 그루밍족이 되어보세요.,0
웹 사용 방법,얼굴형 분석을 위하여 메인 페이지의 ANALYSIS 메뉴를 누른 후 사진을 첨부하거나 웹캠 허용을 누른 후 얼굴이 잘 보이도록 한 후 캡쳐하세요.  분석 결과를 확인한 후 퍼스널컬러와 얼굴형을 참고하여 더 스마트한 그루밍족이 되어보세요.,0
채팅,메인 페이지에서 오른쪽 하단에 있는 말풍선 아이콘을 클릭하세요. 자신이 원하는 유형의 채팅방에 들어가 다른 사용자들과 채팅으로 정보 공유를 시작해보세요.,0
채팅은 어떻게 해?,메인 페이지에서 오른쪽 하단에 있는 말풍선 아이콘을 클릭하세요. 자신이 원하는 유형의 채팅방에 들어가 다른 사용자들과 채팅으로 정보 공유를 시작해보세요.,0
채팅 하고 싶어,메인 페이지에서 오른쪽 하단에 있는 말풍선 아이콘을 클릭하세요. 자신이 원하는 유형의 채팅방에 들어가 다른 사용자들과 채팅으로 정보 공유를 시작해보세요.,0
얼굴형 종류,"얼굴형은 기준에 따라 계란형, 둥근형, 역삼각형, 하트형, 장방형 등 다양하게 나눌 수 있습니다. allrange에서는 둥근형, 사각형, 장방형 3가지의 유형으로 분류되며, 이에 맞는 헤어스타일을 추천해드립니다.",1
얼굴형 유형은 어떤 게 있어?,"얼굴형은 기준에 따라 계란형, 둥근형, 역삼각형, 하트형, 장방형 등 다양하게 나눌 수 있습니다. allrange에서는 둥근형, 사각형, 장방형 3가지의 유형으로 분류되며, 이에 맞는 헤어스타일을 추천해드립니다.",1
얼굴형 자가진단,"allrange에서 얼굴형을 분석할 수 있습니다.",1
얼굴형 자가진단 하고싶어,"allrange에서 얼굴형을 분석할 수 있습니다.",1
얼굴형 분석은 어떻게 해?,"얼굴형은 얼굴 윤곽선과 이마, 광대, 턱 등의 비율을 측정하여 분석할 수 있습니다. 이를 통하여 둥근형, 하트형, 각진형 등의 얼굴형으로 구분할 수 있습니다.",1
얼굴형은 어떻게,"얼굴형은 얼굴 윤곽선과 이마, 광대, 턱 등의 비율을 측정하여 분석할 수 있습니다. 이를 통하여 둥근형, 하트형, 각진형 등의 얼굴형으로 구분할 수 있습니다.",1
얼굴형은 어떻게 알아볼 수 있나요?,"얼굴형은 얼굴 윤곽선과 이마, 광대, 턱 등의 비율을 측정하여 분석할 수 있습니다. 이를 통하여 둥근형, 하트형, 각진형 등의 얼굴형으로 구분할 수 있습니다.",1
얼굴형은 어떻게 분석하나요?,"얼굴형은 얼굴 윤곽선과 이마, 광대, 턱 등의 비율을 측정하여 분석할 수 있습니다. 이를 통하여 둥근형, 하트형, 각진형 등의 얼굴형으로 구분할 수 있습니다.",1
얼굴형에 맞는 헤어스타일은 무엇인가요?,"얼굴형에 어울리는 헤어스타일은 얼굴형의 특성에 따라 달라집니다. 둥근 타입의 얼굴형은 길이가 긴 헤어스타일이 어울리고, 각진 타입의 얼굴형은 부드러운 곡선 헤어스타일을 추천합니다.",1
각 얼굴형에 어울리는 안경은 어떤 건가요?,"얼굴형에 따라 어울리는 안경 또한 달라집니다. 각진 타입의 얼굴형은 둥근 프레임의 안경이 어울리고, 둥근 타입의 얼굴형은 각진 프레임의 안경이 어울립니다. 그러나 CANGE에서는 헤어스타일 맞춤 추천 기능을 주요로 보여드리기 때문에 자세한 정보는 가지고 있지 않습니다.",1
얼굴형에 어울리는 안경 추천해줘,"CANGE에서는 해당 기능이 구현되지 않았습니다. 더욱 다양한 서비스 구축을 위하여 노력하겠습니다.",1
퍼스널 컬러,"퍼스널컬러란 사람마다 가지고 태어난 신체 고유의 색상을 뜻합니다. 개인마다 가지고 있는 고유의 색이 다 다르기 때문에 각자에게 어울리는 색과 어울리지 않는 색을 찾아내어 화장 및 코디 시에 본인에게 맞는 색이 무엇인지 명확히 알 수 있게 됩니다. 퍼스널컬러는 크게 봄, 여름, 가을, 겨울 4가지 유형으로 구분되고, 봄과 가을은 웜(Warm)톤, 여름과 겨울은 쿨(Cool)톤으로 분류됩니다.",2
퍼스널 컬러가 뭐야?,"퍼스널컬러란 사람마다 가지고 태어난 신체 고유의 색상을 뜻합니다. 개인마다 가지고 있는 고유의 색이 다 다르기 때문에 각자에게 어울리는 색과 어울리지 않는 색을 찾아내어 화장 및 코디 시에 본인에게 맞는 색이 무엇인지 명확히 알 수 있게 됩니다. 퍼스널컬러는 크게 봄, 여름, 가을, 겨울 4가지 유형으로 구분되고, 봄과 가을은 웜(Warm)톤, 여름과 겨울은 쿨(Cool)톤으로 분류됩니다.",2
퍼스널 컬러 진단 방법,"퍼스널컬러는 피부색의 명도, 채도 그리고 톤의 정도로 구분하여 진단하게 됩니다. 명도(Brightness)는 높을 수록 밝고, 낮을 수록 어두워집니다. 채도(Saturation)는 높을 수록 색이 진하고, 낮을 수록 색이 옅어집니다. 톤(Tone)은 명도와 채도가 합쳐진 색의 성질입니다. 피부 원색의 톤을 필요로 하기 때문에 진단을 받을 경우 화장을 하지 않은 민낯으로 받게 됩니다.",2
퍼스널 컬러는 진단을 어떻게 해?,"퍼스널컬러는 피부색의 명도, 채도 그리고 톤의 정도로 구분하여 진단하게 됩니다. 명도(Brightness)는 높을 수록 밝고, 낮을 수록 어두워집니다. 채도(Saturation)는 높을 수록 색이 진하고, 낮을 수록 색이 옅어집니다. 톤(Tone)은 명도와 채도가 합쳐진 색의 성질입니다. 피부 원색의 톤을 필요로 하기 때문에 진단을 받을 경우 화장을 하지 않은 민낯으로 받게 됩니다.",2
퍼스널 컬러 자가진단 하고 싶어,"allrange에서 퍼스널컬러를 예측할 수 있습니다.",2
퍼스널 컬러 자가진단, "allrange에서 퍼스널컬러를 예측할 수 있습니다.",2
퍼스널 컬러란 무엇인가요?,"퍼스널컬러란 사람마다 가지고 태어난 신체 고유의 색상을 뜻합니다. 개인마다 가지고 있는 고유의 색이 다 다르기 때문에 각자에게 어울리는 색과 어울리지 않는 색을 찾아내어 화장 및 코디 시에 본인에게 맞는 색이 무엇인지 명확히 알 수 있게 됩니다. 퍼스널컬러는 크게 봄, 여름, 가을, 겨울 4가지 유형으로 구분되고, 봄과 가을은 웜(Warm)톤, 여름과 겨울은 쿨(Cool)톤으로 분류됩니다.",2
퍼스널 컬러의 주요 유형은 무엇인가요?,"퍼스널 컬러는 크게 봄, 여름, 가을, 겨울 4가지의 계절 유형으로 나뉘어집니다. 또 각 계절마다 라이트, 브라이트, 뮤트, 딥, 브라이트 등으로 세분화됩니다.",2
퍼스널 컬러의 종류,"퍼스널 컬러는 크게 봄, 여름, 가을, 겨울 4가지의 계절 유형으로 나뉘어집니다. 또 각 계절마다 라이트, 브라이트, 뮤트, 딥, 브라이트 등으로 세분화됩니다.",2
퍼스널 컬러의 종류 알려줘,"퍼스널 컬러는 크게 봄, 여름, 가을, 겨울 4가지의 계절 유형으로 나뉘어집니다. 또 각 계절마다 라이트, 브라이트, 뮤트, 딥, 브라이트 등으로 세분화됩니다.",2
퍼스널 컬러의 유형 알려줘,"퍼스널 컬러는 크게 봄, 여름, 가을, 겨울 4가지의 계절 유형으로 나뉘어집니다. 또 각 계절마다 라이트, 브라이트, 뮤트, 딥, 브라이트 등으로 세분화됩니다.",2
